customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
0037AEDB-3,52,3,455.56,4,3,4,11,Champions
0037C763-2,607,1,44.1,1,1,1,3,Lost
0037FC38-3,441,2,124.28,1,2,3,6,At Risk
003862EC-4,638,1,68.54,1,1,2,4,Lost
00387475-C,469,1,46.55,1,1,1,3,Lost
003894A8-8,94,3,137.2,3,3,3,9,Loyal
003965BE-5,455,1,140.05,1,1,3,5,At Risk
0039AE62-6,679,1,46.55,1,1,1,3,Lost
0039E764-6,276,1,50.76,2,1,1,4,Lost
003A02C7-3,450,2,105.03999999999999,1,2,2,5,At Risk
003A3F0B-5,682,1,49.0,1,1,1,3,Lost
003B667A-7,332,1,46.86,2,1,1,4,Lost
003C1E27-1,98,2,230.32,3,2,4,9,Loyal
003C8FEB-C,300,7,356.03999999999996,2,4,4,10,Loyal
003CC8A6-C,480,1,39.2,1,1,1,3,Lost
003CDA4A-E,321,1,49.0,2,1,1,4,Lost
003D5EF8-7,64,4,263.85,4,4,4,12,Champions
003D7031-D,87,1,82.77,4,1,2,7,Potential Loyalist
003D9A43-4,147,2,85.75,3,2,2,7,Potential Loyalist
003DA1A2-D,346,1,69.35,2,1,2,5,At Risk
003E0452-6,176,1,46.55,3,1,1,5,At Risk
003E1770-5,131,1,49.0,3,1,1,5,At Risk
003E1DE4-D,70,5,356.89,4,4,4,12,Champions
003E5ED0-9,43,2,83.30000000000001,4,2,2,8,Potential Loyalist
003EEE1D-0,3,5,321.11,4,4,4,12,Champions
003EF39B-1,284,1,49.0,2,1,1,4,Lost
003F9A55-5,302,2,202.84,2,2,3,7,Potential Loyalist
003FC376-F,146,1,44.1,3,1,1,5,At Risk
003FFCD6-B,314,3,429.04999999999995,2,3,4,9,Loyal
00401B05-3,174,7,413.43,3,4,4,11,Champions
00402336-9,662,1,44.1,1,1,1,3,Lost
00402819-5,45,1,49.0,4,1,1,6,At Risk
0040CB2A-2,63,3,288.04999999999995,4,3,4,11,Champions
0040D01D-8,561,1,39.2,1,1,1,3,Lost
00413932-7,64,1,115.96,4,1,2,7,Potential Loyalist
004143DC-F,380,2,239.96,2,2,4,8,Potential Loyalist
00418B56-D,29,2,141.53,4,2,3,9,Loyal
00418EDE-B,682,1,70.11,1,1,2,4,Lost
0041C946-7,296,2,95.55,2,2,2,6,At Risk
0041D60D-D,649,2,95.55,1,2,2,5,At Risk
0041F141-E,564,1,145.61,1,1,3,5,At Risk
00424F2B-A,10,6,414.61,4,4,4,12,Champions
00424FF3-6,241,3,139.65,2,3,3,8,Potential Loyalist
00430815-4,176,1,118.25,3,1,2,6,At Risk
00430A94-8,579,2,153.37,1,2,3,6,At Risk
00431A07-B,58,1,49.0,4,1,1,6,At Risk
0043C3EC-0,8,12,766.9200000000001,4,4,4,12,Champions
0043FEF6-B,284,1,49.0,2,1,1,4,Lost
0044178C-8,303,3,178.18,2,3,3,8,Potential Loyalist
00447338-4,121,1,49.0,3,1,1,5,At Risk
00454C6E-7,165,4,275.02,3,4,4,11,Champions
00456415-C,535,1,49.0,1,1,1,3,Lost
00456B01-1,147,2,184.18,3,2,3,8,Potential Loyalist
0045EAE0-8,337,1,39.2,2,1,1,4,Lost
004603C0-5,357,2,204.17000000000002,2,2,3,7,Potential Loyalist
00462B83-F,11,10,590.86,4,4,4,12,Champions
00462EA3-8,724,1,49.0,1,1,1,3,Lost
0046C556-2,192,2,272.13,3,2,4,9,Loyal
0046D5FE-9,295,1,49.0,2,1,1,4,Lost
0046DA9F-B,540,1,49.0,1,1,1,3,Lost
00471948-1,336,2,210.77,2,2,3,7,Potential Loyalist
00479C97-0,4,106,7885.07,4,4,4,12,Champions
0047DFB9-3,370,1,90.8,2,1,2,5,At Risk
00481285-D,209,1,44.1,3,1,1,5,At Risk
00481819-D,458,1,49.0,1,1,1,3,Lost
0048196D-8,184,2,90.65,3,2,2,7,Potential Loyalist
00485BA7-D,346,1,49.0,2,1,1,4,Lost
0048989C-6,321,2,141.19,2,2,3,7,Potential Loyalist
00489CAB-5,294,1,71.59,2,1,2,5,At Risk
00497081-7,294,1,39.2,2,1,1,4,Lost
00497A64-2,170,2,142.89,3,2,3,8,Potential Loyalist
00497FDE-C,186,3,303.19,3,3,4,10,Loyal
004A80DD-F,466,1,49.0,1,1,1,3,Lost
004AB936-0,404,1,39.2,2,1,1,4,Lost
004B2204-3,65,2,222.44,4,2,3,9,Loyal
004B34C6-E,529,1,49.0,1,1,1,3,Lost
004C0204-C,355,2,110.60999999999999,2,2,2,6,At Risk
004C1FCB-8,629,1,45.91,1,1,1,3,Lost
004C3046-B,96,1,49.0,3,1,1,5,At Risk
004C376E-6,185,1,49.0,3,1,1,5,At Risk
004C37E0-F,339,1,85.03,2,1,2,5,At Risk
004C4600-B,286,2,203.66,2,2,3,7,Potential Loyalist
004C56A6-4,655,1,49.0,1,1,1,3,Lost
004C6471-9,271,3,227.7,2,3,4,9,Loyal
004C6ADD-B,52,3,197.82,4,3,3,10,Loyal
004CCEDE-1,714,1,49.0,1,1,1,3,Lost
004CFB86-9,87,1,44.1,4,1,1,6,At Risk
004D76C9-E,70,2,85.75,4,2,2,8,Potential Loyalist
004D7745-B,652,1,49.0,1,1,1,3,Lost
004D9444-B,31,3,132.3,4,3,3,10,Loyal
004DA258-4,176,3,307.4,3,3,4,10,Loyal
004DD7AE-7,92,2,190.77,4,2,3,9,Loyal
004DE09F-9,22,80,5525.1,4,4,4,12,Champions
004DF8C7-F,449,1,46.55,1,1,1,3,Lost
004DFF00-E,529,2,124.84,1,2,3,6,At Risk
004E11BA-B,25,4,262.44,4,4,4,12,Champions
004E1CA3-5,545,1,44.1,1,1,1,3,Lost
004E829C-9,112,3,141.92000000000002,3,3,3,9,Loyal
004E9F1A-F,56,5,677.4100000000001,4,4,4,12,Champions
004F0E25-8,7,15,945.58,4,4,4,12,Champions
004F2770-9,283,2,151.88,2,2,3,7,Potential Loyalist
004F2E43-0,33,4,208.89,4,4,3,11,Champions
004F52FE-0,98,1,49.0,3,1,1,5,At Risk
004F8A67-3,24,1,49.0,4,1,1,6,At Risk
004F9D0D-2,492,2,126.10000000000001,1,2,3,6,At Risk
005001F2-0,13,1,48.71,4,1,1,6,At Risk
005003E6-0,678,1,141.96,1,1,3,5,At Risk
00501BB7-0,32,16,929.6,4,4,4,12,Champions
00501CD8-8,706,1,49.0,1,1,1,3,Lost
00503AAC-A,326,2,235.54,2,2,4,8,Potential Loyalist
00507B35-A,542,2,106.32,1,2,2,5,At Risk
00507E5B-B,46,4,362.78999999999996,4,4,4,12,Champions
00511959-4,201,1,49.0,3,1,1,5,At Risk
00512E4D-6,607,1,44.1,1,1,1,3,Lost
00515363-D,13,5,259.92,4,4,4,12,Champions
0051A391-2,47,3,296.78,4,3,4,11,Champions
0051FCD8-1,261,3,209.3,2,3,3,8,Potential Loyalist
00522BC2-7,138,6,288.64,3,4,4,11,Champions
00524B9A-2,89,3,271.26,4,3,4,11,Champions
005271D5-1,244,4,447.04,2,4,4,10,Loyal
0052FD4D-8,174,1,41.65,3,1,1,5,At Risk
0053190F-E,72,1,49.0,4,1,1,6,At Risk
0053735C-B,285,2,133.38,2,2,3,7,Potential Loyalist
0053976C-8,644,1,49.0,1,1,1,3,Lost
005435EA-A,305,4,193.55,2,4,3,9,Loyal
005469A9-4,8,2,94.72999999999999,4,2,2,8,Potential Loyalist
0054873B-3,26,7,313.6,4,4,4,12,Champions
0054CD20-7,720,1,180.94,1,1,3,5,At Risk
0054D0C7-1,37,2,153.19,4,2,3,9,Loyal
00551A4C-5,524,1,39.2,1,1,1,3,Lost
00551ECA-D,694,1,69.88,1,1,2,4,Lost
0055AC73-4,204,1,46.55,3,1,1,5,At Risk
0055F883-B,21,28,1793.14,4,4,4,12,Champions
0055F969-6,593,1,49.0,1,1,1,3,Lost
00561970-0,595,1,53.24,1,1,1,3,Lost
005636F9-E,125,8,543.4,3,4,4,11,Champions
005657D4-F,457,1,49.0,1,1,1,3,Lost
0056A9B7-B,248,2,206.14000000000001,2,2,3,7,Potential Loyalist
0056DC22-8,267,2,90.38,2,2,2,6,At Risk
005707D9-D,541,2,98.0,1,2,2,5,At Risk
005709F2-3,415,2,207.03,2,2,3,7,Potential Loyalist
00571918-6,118,2,93.2,3,2,2,7,Potential Loyalist
005732A7-6,442,2,83.3,1,2,2,5,At Risk
00576A06-F,66,4,229.65,4,4,4,12,Champions
0057B8E9-D,212,1,81.07,3,1,2,6,At Risk
0057C36C-5,546,3,227.34,1,3,4,8,Potential Loyalist
0057CC56-F,594,1,36.75,1,1,1,3,Lost
0057CD2A-C,5,26,1591.38,4,4,4,12,Champions
0057CD4F-8,248,1,49.0,2,1,1,4,Lost
0057D34C-5,244,2,93.1,2,2,2,6,At Risk
0057DFCC-A,25,41,2942.92,4,4,4,12,Champions
0057FF93-9,210,2,221.0,3,2,3,8,Potential Loyalist
005805EE-2,67,3,204.98000000000002,4,3,3,10,Loyal
0058E710-7,383,1,49.33,2,1,1,4,Lost
005918CF-4,182,1,49.0,3,1,1,5,At Risk
005936FC-5,11,8,535.01,4,4,4,12,Champions
005979F8-4,7,1,54.22,4,1,2,7,Potential Loyalist
00598C48-A,577,1,39.2,1,1,1,3,Lost
005A3DF8-D,215,2,119.19,3,2,2,7,Potential Loyalist
005AB5E7-3,8,19,1152.39,4,4,4,12,Champions
005AF162-1,7,2,93.1,4,2,2,8,Potential Loyalist
005B0586-4,533,1,50.05,1,1,1,3,Lost
005B07B7-7,635,1,36.75,1,1,1,3,Lost
005B2021-F,178,2,100.18,3,2,2,7,Potential Loyalist
005B620C-F,195,2,145.54,3,2,3,8,Potential Loyalist
005BC9D2-9,29,5,239.69,4,4,4,12,Champions
005BFEFC-B,431,2,145.44,1,2,3,6,At Risk
005C12F1-7,21,1,100.0,4,1,2,7,Potential Loyalist
005C745A-6,152,3,328.21000000000004,3,3,4,10,Loyal
005C74FA-5,47,2,325.37,4,2,4,10,Loyal
005C8ED5-4,135,4,211.64,3,4,3,10,Loyal
005CEB3E-3,262,3,134.75,2,3,3,8,Potential Loyalist
005D2849-E,56,2,103.73,4,2,2,8,Potential Loyalist
005D669D-3,38,3,293.93,4,3,4,11,Champions
005D6F78-6,257,2,146.01999999999998,2,2,3,7,Potential Loyalist
005D7BC9-D,19,58,4073.59,4,4,4,12,Champions
005D84AF-F,289,6,365.3,2,4,4,10,Loyal
005DA148-4,22,3,120.05000000000001,4,3,2,9,Loyal
005DA6E3-A,133,1,44.1,3,1,1,5,At Risk
005DB1F3-A,77,4,389.61,4,4,4,12,Champions
005E188B-B,229,1,49.0,2,1,1,4,Lost
005E6EEE-3,93,5,320.6,3,4,4,11,Champions
005E824D-3,331,3,160.32,2,3,3,8,Potential Loyalist
005FB918-5,478,3,342.58,1,3,4,8,Potential Loyalist
00602DFA-9,435,5,295.86,1,4,4,9,Loyal
00604B74-B,351,1,71.03,2,1,2,5,At Risk
00605E81-5,217,1,107.02,3,1,2,6,At Risk
0060D6F3-B,385,1,44.1,2,1,1,4,Lost
006101D2-C,16,5,364.84000000000003,4,4,4,12,Champions
00615425-B,123,2,164.20999999999998,3,2,3,8,Potential Loyalist
00616BF2-5,105,5,361.88,3,4,4,11,Champions
0061A414-3,3,1,73.83,4,1,2,7,Potential Loyalist
0061DFDF-C,177,4,264.67,3,4,4,11,Champions
0061E869-1,95,3,145.19,3,3,3,9,Loyal
0063F1B1-A,390,1,49.0,2,1,1,4,Lost
0064248D-D,718,1,89.15,1,1,2,4,Lost
00646DA2-D,308,1,44.1,2,1,1,4,Lost
0064EB56-7,442,1,50.62,1,1,1,3,Lost
00658823-2,52,1,46.55,4,1,1,6,At Risk
0065B1E4-E,11,9,676.57,4,4,4,12,Champions
006602D8-E,184,1,50.41,3,1,1,5,At Risk
006689D1-9,30,6,302.99,4,4,4,12,Champions
0066DDBF-6,170,2,253.09,3,2,4,9,Loyal
0066F201-3,515,1,49.0,1,1,1,3,Lost
0066F32D-3,324,2,80.85,2,2,2,6,At Risk
006707AC-8,75,1,46.55,4,1,1,6,At Risk
00671CB4-F,360,2,124.18,2,2,3,7,Potential Loyalist
00678082-8,667,2,101.74000000000001,1,2,2,5,At Risk
0067A09E-5,183,17,1236.35,3,4,4,11,Champions
00684D9C-D,362,2,85.75,2,2,2,6,At Risk
00685D1F-F,523,1,119.15,1,1,2,4,Lost
0068CD19-A,105,4,272.29,3,4,4,11,Champions
0068EEAC-7,176,1,66.02,3,1,2,6,At Risk
00694152-0,48,2,189.0,4,2,3,9,Loyal
00695377-2,114,2,136.18,3,2,3,8,Potential Loyalist
00696B49-F,448,1,70.91,1,1,2,4,Lost
006998D2-A,169,2,90.65,3,2,2,7,Potential Loyalist
0069AD0F-6,372,2,159.39,2,2,3,7,Potential Loyalist
0069B4CF-F,283,4,414.05,2,4,4,10,Loyal
006A218F-3,165,2,265.1,3,2,4,9,Loyal
006A8E02-9,69,5,352.19,4,4,4,12,Champions
006ADA9D-B,265,2,343.32,2,2,4,8,Potential Loyalist
006B4D2C-7,507,1,39.2,1,1,1,3,Lost
006BA128-2,267,2,88.19999999999999,2,2,2,6,At Risk
006BA263-4,409,2,200.45999999999998,2,2,3,7,Potential Loyalist
006BA71D-C,442,1,128.12,1,1,3,5,At Risk
006BB83B-8,333,2,320.78000000000003,2,2,4,8,Potential Loyalist
006C43BB-4,474,1,101.81,1,1,2,4,Lost
006CAAAA-1,75,3,207.83,4,3,3,10,Loyal
006D0BD8-7,241,4,379.08000000000004,2,4,4,10,Loyal
006D366B-E,123,1,49.0,3,1,1,5,At Risk
006DBC17-0,306,1,41.65,2,1,1,4,Lost
006DBE2D-F,691,1,195.33,1,1,3,5,At Risk
006E5C5D-D,199,3,266.46,3,3,4,10,Loyal
006EB3DA-4,159,1,103.33,3,1,2,6,At Risk
006F3771-A,89,3,158.87,4,3,3,10,Loyal
006F589C-F,79,3,306.4,4,3,4,11,Champions
006F618A-9,184,1,53.41,3,1,1,5,At Risk
006FC33E-7,567,2,184.87,1,2,3,6,At Risk
006FCA14-6,14,7,563.7,4,4,4,12,Champions
006FD659-8,419,3,313.4,1,3,4,8,Potential Loyalist
00702572-1,681,1,49.0,1,1,1,3,Lost
00708AFF-8,3,4,433.53,4,4,4,12,Champions
0070D355-E,85,1,41.65,4,1,1,6,At Risk
00711383-F,142,3,150.53,3,3,3,9,Loyal
00713831-C,8,5,329.32,4,4,4,12,Champions
0071740D-0,727,1,123.88,1,1,3,5,At Risk
007191C8-2,634,1,49.0,1,1,1,3,Lost
0071A88F-A,16,2,135.34,4,2,3,9,Loyal
0071B454-1,136,1,49.0,3,1,1,5,At Risk
0071C612-2,140,1,46.55,3,1,1,5,At Risk
0071E4ED-C,662,2,93.1,1,2,2,5,At Risk
0071F0DE-2,34,2,243.11,4,2,4,10,Loyal
